Token	TotalCount	NumLangs	Languages
fei	1173535	1	zh
ling	1171295	1	zh
gan	1164099	1	zh
dai	1147449	1	zh
iɜ	1141625	1	vi
tou	1139594	1	zh
cai	1132003	1	zh
ʊɐ	1131974	2	de,hr
san	1131659	1	zh
uə	1122063	1	vi
gao	1119438	1	zh
ui	1103427	5	fi,ko,lt,lv,mt
kai	1102865	1	zh
zui	1102571	1	zh
xue	1084097	1	zh
əɜ	1083308	1	vi
liu	1049754	1	zh
tai	1049473	1	zh
…	1045342	27	bg,cs,da,de,el,en,es,et,fi,fr,hr,hu,it,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,vi,zh
ban	1038901	1	zh
yø	1033235	2	fi,mt
quan	1031023	1	zh
lao	1026843	1	zh
uɪ	1016620	3	it,pt,ro
zhen	1006271	1	zh
yue	1004323	1	zh
du	996908	1	zh
gei	996067	1	zh
fan	984560	1	zh
ben	971807	1	zh
hu	962598	1	zh
eɜ	957428	1	vi
ting	957160	1	zh
iɛɜ	953197	1	vi
mu	939439	1	zh
iʊ	916323	2	pt,ro
ya	912405	1	zh
zhao	910485	1	zh
ʔy	908543	1	da
zhan	881298	1	zh
bing	866857	1	zh
gen	862742	1	zh
lian	849350	1	zh
cong	821748	1	zh
an	808527	1	zh
æy	780200	1	fi
gai	776348	1	zh
shui	775869	1	zh
chi	773964	1	zh
rang	747097	1	zh
gou	735992	1	zh
aɜ	734345	1	vi
lu	733988	1	zh
nan	721229	1	zh
huan	712186	1	zh
kh	706892	3	en,ko,vi
que	695790	1	zh
eɑ	684247	1	lt
deng	683676	1	zh
su	664858	1	zh
biao	662464	1	zh
yɜ	659478	1	vi
feng	656990	1	zh
mo	648686	1	zh
chan	643018	1	zh
duan	640655	1	zh
ɔɪ	639497	11	bg,da,de,el,en,fr,nl,pt,ru,sv,vi
ping	637245	1	zh
əɪ	633229	2	ro,vi
!	632860	27	bg,cs,da,de,el,en,es,et,fi,fr,hr,hu,it,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,vi,zh
ph	627563	2	en,ko
bie	627162	1	zh
she	626349	1	zh
geng	618094	1	zh
uɜ	616518	1	vi
pin	614684	1	zh
tu	603877	1	zh
shao	595927	1	zh
mai	586419	1	zh
dz	578469	2	hu,it
gui	577470	1	zh
zu	576226	1	zh
sui	573163	1	zh
ou	572102	2	fi,zh
wai	568202	1	zh
ry	567959	1	ja
zhou	567206	1	zh
lv	559117	1	zh
zao	557378	1	zh
qie	555339	1	zh
zou	553431	1	zh
kuai	548626	1	zh
zhuan	547874	1	zh
bo	536565	1	zh
qiu	533606	1	zh
cha	530568	1	zh
yəɜ	523993	1	vi
te	522161	1	zh
qiang	507934	1	zh
zen	507277	1	zh
shan	506887	1	zh
lei	506778	1	zh
liao	504243	1	zh
luo	501159	1	zh
tiao	496504	1	zh
nei	496017	1	zh
ze	490606	1	zh
gang	490111	1	zh
rong	478449	1	zh
chuan	478364	1	zh
